college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
kamala science campus,dhungrbas kamalamai sindhuli,tribhuvan university,bachelor of science general bsc,community institution,,,34,1,307
banshgopal multiple campus,chaughada hetauda makwanpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,057530192,,34,1,227
golmeshwar campus,malu5 malu tamakoshi dolakha,tribhuvan university,bachelor of education bed,community institution,,,34,1,575
kalinag multiple campus,sunkhani kalinchok dolakha,tribhuvan university,bachelor of education bed,community institution,,,34,1,894
tripura campus namdu,namdu baiteshwor dolakha,tribhuvan university,bachelor of education bed,community institution,,,34,1,660
garuwa multiple campus,danabari mai ilam,tribhuvan university,bachelor of education bed,community institution,,,34,1,258
digam aadarsh multiple campus,digamkot chatrakot gulmi,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,,,34,1,309
gaurigung campus,gauriganj jhapa,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed,community institution,023620439,,24,1,355
bhairab multiple campus,chhahara rainadevi chhahara palpa,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,075690050,,34,1,231
janata campus morang,rangeli rangeli morang,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed,community institution,021580324,,24,1,776
ramailo campus,bayarbana keraun bayarbana kanepokhari morang,national examinations board,bachelor of business studies bbs bachelor of arts ba ten plus two 2 management 2 mangement ten plus two 2 education 2 education,community institution,021691839,,24,1,102
adarsha multiple campus dhading,gajuri bazar1 gajuri gajuri dhading,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,010692020 010402332,amc_gajuri2063yahoocom,34,1,343
kantipur campus,kageshwori manahara kageshwari manahora kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities bachelor of arts ba bachelor of business studies bbs,community institution,014450804,infokantipurcampusedunp,24,1,454
urlabari campus,urlabari uralabari morang,national examinations board,bachelor of arts ba bachelor of education bed bachelor of business studies bbs master of education general med ma in rural development mrd ten plus two 2 management 2 mangement ten plus two 2 education 2 education master of business studies mbs,community institution,021540061,,24,1,964
janakpur campus,janakpur dhanusha,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of education bed master of education general med,community institution,041522417,,24,1,429
diktel multiple campus,diktel rupakot majhuwagadhi khotang,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement bachelor of arts ba bachelor of business studies bbs bachelor of education bed ma in nepali ma nepali ma in sociology med nepali language education med education planning and management,community institution,036420119,diktelcampusgmailcom,24,1,310
myanglung campus,myanglung tamphula myanglung myanglung tehrathum,national examinations board,master of education general med bachelor of arts ba bachelor of education bed bachelor of business studies bbs ten plus two 2 management 2 mangement ten plus two 2 education 2 education ma in nepali ma nepali ten plus two 2 humanities 2 humanities,community institution,026460120,,24,1,658
sunsari multiple campus,inaruwa sunsari,national examinations board,bachelor of arts ba bachelor of education bed bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement master of business studies mbs master of education general med bachelor of information management bim,community institution,025560009,infosmcampusedunp,24,1,414
resunga multiple campus,tamghas resunga gulmi,national examinations board,bachelor of education bed bachelor of arts ba bachelor of business studies bbs master of education general med ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement master of business studies mbs,community institution,079520145 079521045,resungamcampusgmailcom,24,1,908
kapilvastu multiple campus,taulihawa kapilvastu,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs master of education general med,community institution,076560181 076560329,kmckplgmailcom,24,1,919
ram raja mbs multiple campus,kalaiya kalaiya bara,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed master of business studies mbs,community institution,9855045315 9845128277,inforamrajaedunp,24,1,457
nuwakot adarsha multiple campus,batar bidur nuwakot,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs master of education general med ten plus two 2 management 2 mangement ten plus two 2 education 2 education ten plus two 2 humanities 2 humanities,community institution,010560157,,24,1,97
shaheed smarak college,bakhanpur sharada nagar bakhanpur bharatpur chitwan,national examinations board,bachelor of business studies bbs bachelor of education bed ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of business studies mbs bachelor of computer application bca,community institution,056591031,infosscbakhanpuredunp,24,1,50
ghodaghodi multiple campus,sukhad ghodaghodi kailali,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of business studies mbs ma in sociology ma in anthropology ma anthropology bachelor of education in information communication technology bicte,community institution,9741074074,ghodaghodimultiplecampusgmailcom,24,1,887
myagdi multiple campus,phulbari beni beni myagdi,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement master of business studies mbs bachelor of education in information communication technology bicte,community institution,069520109 9857640188,myagdicampusgmailcom,24,1,725
jay kishan multiple campus,dewahhi gonahi rautahat,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,,,34,1,279
buddhabhumi campus,barkulpur kapilvastu,tribhuvan university,bachelor of education bed master of business studies mbs,community institution,,,34,1,88
buddhilal bidya munar campus,bhagatpur shambhunath saptari,tribhuvan university,bachelor of education bed,community institution,,,34,1,116
jhimruk multiple campus,bagdula jhimruk pyuthan,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,40
solukhumbu multiple campus,salleri solududhkunda solukhumbu,national examinations board,bachelor of arts ba bachelor of education bed ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs master of education general med,community institution,038520225 038520456,infosolucampusedunp,24,1,798
nawajagrit multiple campus,tilahar modi parbat,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,067690168,,34,1,943
kushadevi campus,kushadevi7 kushadevi panauti kavrepalanchok,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,011405062,schoolkushadevigmailcom,34,1,540
kalika public college,rambazar pokhara pokhara lekhnath kaski,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,061431141  061431836,,34,1,758
machhapuchre education campus,annapurna gaupalika pokhara annapurna kaski,tribhuvan university,bachelor of education bed,community institution,061691633,,34,1,16
shankarnagar multiple campus,shankarnagar2 shankarnagar tillotama rupandehi,national examinations board,ten plus two 2 education 2 education ten plus two 2 management 2 mangement bachelor of business studies bbs,community institution,071414488,,24,1,835
khudabagar adarsh college,lumbini sanskritik rupandehi,tribhuvan university,bachelor of education bed,community institution,,,34,1,573
pharsatikar yagyodaya multiple campus,farsatikar pharsatikar sudhdhodhan rupandehi,tribhuvan university,bachelor of business studies bbs bachelor of education bed master of business studies mbs,community institution,071693255,,34,1,329
jahari campus,kholagaun4 chaurjahari western rukum,tribhuvan university,bachelor of education bed,community institution,,,34,1,508
syarpu multiple campus,banphikot banfikot western rukum,tribhuvan university,bachelor of education bed,community institution,,,34,1,76
